NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Suministro
de
Kit
rapido
para
la
deteccion
cualitativa
de
gentamicina
en
leche
(IDEXX
SNAP Gentamicin Test)","226,33 €","187,05 €","Tecnologia Agraria, S.A.",,1 mes,Suministros,
,"Suministro de diverso material
fungible para el
Laboratorio de Sanidad Animal","1.027,35 €","849,05 €","Teknokroma Analitica, S.A.",,1 mes,Suministros,
,"Instalacion
fotovoltaica
centro
de
cria
del
urogallo","39.040,90 €","32.265,21 €","Telegrado, S.L.",,Hasta 31 de diciembre de 2023,Obras,
,Suministro de medios de cultivo,"3.079,28 €","2.544,86 €","Thermofisher Diagnostics, S.L.",,1 mes,Suministro,
,Adquisicion de aparatos de medida forestal,"4.919,58 €","4.065,77 €",Timo Meriläinen,,1 mes,Suministro,
,"Construccion de pasos subterraneos en viales
del vivero forestal de la Mata","9.438,00 €","7.800,00 €","Trabajos Salense, S.L.",,"1,5 meses",Obra,
,"Construccion
de
infraestructuras
contra
incendios en Collada (Allande)","46.314,69 €","38.276,60 €","Trabajos Salense, S.L.",,"1,5 meses",Obra,
,Mejora de camino de Carrocera al monte,"34.882,07 €","28.828,16 €","Transporte y maquinaria Gonzalo, 
S.L",,30 días,Obras,
,"Mejora
de
acceso
al
Reguero
La
Vara
(Candamo)","31.147,09 €","25.741,40 €","Transportes y maquinaria Gonzalo, 
S.L.",,45 días,Obras,
,Suministro de llaves,"32,00 €","26,45 €","Valdavila Roberto, S.L.",,1 mes,Suministro,
,"Produccion
y
suministro
de
chaquetillas
para
promoción de la marca Alimentos del Paraíso
Natural","1.528,23 €","1.263,00 €","Vestuario Laboral Asturias, S.L.",,2 dias,Suministros,
,"Suministro
de
disolventes
y
patrones
para
diferentes
tecnicas del
laboratorio de Sanidad
Animal","2.524,06 €","2.086,00 €","Vidra Foc, S.A.",,1 mes,Suministros,
,"Reparacion de coche – Sustitucion de inyector
nº 3 y juntas internas. 4510GJH.","211,75 €","175,00 €",Yonatan Fernández Junquera,,1 mes,Servicio,
,"Reparación de vehiculo - Sustitucion de frenos,
palieres y retenes traseros. 0555-KFN","448,51 €","370,67 €",Yonatan Fernández Junquera,,1 mes,Servicio,
,"Reparacion de vehiculo - Sustitucion de frenos,
palieres y retenes traseros. 0211-KFN","434,60 €","359,17 €",Yonatan Fernández Junquera,,1 mes,Servicio,
,"Reparacion vehiculo oficial matricula O6206BY
CONP/2023/12493","378,97 €","313,20 €",Yonatan Fernandez Junquera,,1 Mes,Servicios,
,Suminstro 4 Lectores Control Horario,"2.042,48 €","1.688,00 €","ZP Informatica, S.L.",,1 Mes,Suministro,
