NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2024/5296,"Servicio de reparaciones generales de la maquinaria agrícola del SERIDA en 
Villaviciosa y Deva","9.062,90 €",,AGRICOLA ADOLFO SL,,12 meses,Servicio,
CONP/2024/10544,"Suministro de desbrozadora para el centro de Biotecnología Animal del SERIDA 
en Deva, Gijón","3.993,00 €",,AGRICOLA ADOLFO SL,,1 mes,Suministro,
CONP/2024/10514,"Suministro de un tractor tipo frutero cabinado para el programa AGROALNEXT 
(FONDOS AUTONÓMICOS) del SERIDA","58.685,00 €",,AGRICOLA ADOLFO SL,,2 meses,Suministro,
CONP/2024/12157,"Suministro de desbrozadora para la granja DEMO Villanueva para el Área de 
Sistemas de Producción Animal del SERIDA en Villaviciosa","7.018,00 €",,AGRICOLA ADOLFO SL,,20 días,Suministro,
2024 291,"Suministro de dos sacos de turba y uno de perlita para el Proyecto Patología 
Vegetal","52,04 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 293,"Suministro de basacote 6m, perlita 100l, tapón reparador y contenedor 40L para 
el programa de Investigación Forestal","377,77 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 295,Suministro etiquetas doblar blanco para el proyecto INCREASE,"404,14 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 279,Servicio de catering seminario Proyecto Lifesilfore,"314,33 €",,AGROALIMENTARIA JUDITH SL,,1 día,Servicio,
CONP/2024/11443,"Suministro de rodillo acoplado a rotovator con cargo al Programa de 
Investigación en Leche","5.291,60 €",,AGROEM SL,,1 mes,Suministro,
CONP/2024/9143,"Servicio de instalación de equipo mecánico de remoción y extracción de purines 
en la Granja Demo del SERIDA en Samielles, Villaviciosa","11.858,00 €",,AGROLAVAL SL,,45 días,Servicio,
CONP/2024/3214,Servicios veterinarios para los rebaños de leche y de carne del SERIDA,"8.954,00 €",,ALBENOR SL,,"8,5 meses",Servicio,
2024 00032024,Diseño logotipo Mother para el Proyecto PID2022138633OR I00,"302,50 €",,ALBERTO ALONSO RODRIGUEZ,,1 día,Servicio,
2024 7013624,"Suministro de máquina de injerto Top y navaja de injertar Victorinox 3.9110 
para el Programa de Investigación Forestal","81,14 €",,ALEJANDRO LOPEZ FERNANDEZ,,1 día,Suministro,
CONP/2024/12144,"Suministro de tres comederos para la alimentación de bovino para la Granja 
Demo Villanueva del Área de Sistemas de Producción animal del SERIDA en 
Villaviciosa","4.356,00 €",,ALMACENES LADISLAO SL,,20 días,Suministro,
2024 202403268,"Suministro de 2 big bag de arenon, 5 sacos de cemento gris, 1 cubo de slurry 
negro 50Kg destinados a tapar zanja ubicada en la zona de recepción de 
muestras","128,79 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 202403269,"Suministro 3 sacos de cemento gris destinado a tapar zanja ubicada junto a la 
zona de recepción de muestras","16,04 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 202404009,Suministro una tapa de fundición con marco para arqueta,"15,91 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 202403980,Suministro saco de cemento y productos de ferretería,"14,65 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 202405060,"Suministro guantes, saco cemento, cortafríos, electrodo rutillo, bombona 
soplete, caja remaches, remaches, brocas","974,40 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 202403557,"Suministro puerta multiusos galva, cambio criba, espuma teja pistola y pistola 
teja","169,94 €",,ALMACENES RIO DE ORO SL,,1 día,Suministro,
2024 112062,Suministro saco de cemento gris 35KG,"21,59 €",,ALOSEI SL,,1 día,Suministro,
2024 113122,Suministro de canalón para tejado de estercolero de Villanueva,"353,17 €",,ALOSEI SL,,1 día,Suministro,
2024 628C24,"Suministro rodamiento bolas 1 hilera, cinta métrica 3 m. y cinta métrica 5 mtrs","19,89 €",,"ANGEL MANUEL GARCIA DE LA 
FUENTE",,1 día,Suministro,
2024 240402079,"Suministro 2 viales de 20 ml y 2 tapones de 18mm para el Programa de 
investigación PID2021 123919OB I00","536,27 €",,"APLICACIONES 
CROMATOGRAFICAS SL",,1 día,Suministro,
CONP/2024/11448,Servicio de mantenimiento equipo YSI2500,"1.991,66 €",,APLITECH BIOLAB LIFE SCIENCE,,45 días,Servicio,
CONP/2024/12568,"Suministro de material de limpieza para los centros del SERIDA en Villaviciosa, 
Deva y Grado","1.192,03 €",,APOLO ASTURIAS SL,,10 días,Suministro,
CONP/2024/8928,"Suministro de estanterías metálicas para el proyecto de investigación banco 
BANCO DE SEMILLAS del SERIDA","828,85 €",,AR RACKING SAU,,20 días,Suministro,
2024 791F,Suministro cinta doble clara para el Programa Trasferencia,"46,21 €",,"ARMANDO JOSE GONZALEZ 
SUAREZ",,1 día,Suministro,
2024 942024,Cuota anual socio INVEGEN,"1.252,35 €",,"ASOC PARA EL FOMENTO DE 
I+D+I TECNOLOGÍA EN 
GENÓMICA VEGETAL",,1 día,Servicio,
2024 2024331,Incremento cuota anual Programa de Sidras y Derivados,"39,93 €",,"ASOCIACION PLATAFORMA 
TECNOLOGICA DEL VINO",,1 día,Servicio,
2024 FA20950,Suministro cadena ISO 10b2,"119,04 €",,"ASTURCERES, SL",,1 día,Suministro,
2024 2061,Servicio mantenimiento ASTURCON,"110,99 €",,ASTURCON SAT SLL,,1 día,Servicio,
2024 C241101,"Servicio de transporte de un camión de forraje desde Illano a Villaviciosa para el 
Programa de Investigación de Carne","423,50 €",,"ASTURGAL SOCIEDAD 
COOPERATIVA",,1 día,Servicio,
2024 24732,Dosis semen rebaño leche para el Programa de investigación de leche,"991,10 €",,"ASTURIANA DE CONTROL 
LECHERO",,1 día,Suministro,
CONP/2024/11057,"Suministro de un ordenador portátil para conectar el equipo Bioanalizador de 
fragmentos con cargo al PROYECTO DE INVESTIGACIÓN PID2021 123919OB I00","799,00 €",,"ASTURIANA DE MAQUINARIA Y 
REPRODUCCION S.L.",,20 días,Suministro,
2024 33599,"Suministro guantes de nitrilo talle M, contenedores orina y tubos falcon para el 
Programa de investigación Estudio sanitario de Fauna Silvestre","352,00 €",,ASTURLAB ASTURIAS SL,,1 día,Suministro,
2024 33621,"Suministro dispensador automatico portaobjetos, caja para 100 portas en 
poliestireno, gradilla mixta, archivador carton, punta pipeta eppendorf, pipette 
tips, aceite inmesin, portaobjetos, cinta adhesiva para el Proyecto Banco de 
Recursos Zoogenéticos","590,18 €",,ASTURLAB ASTURIAS SL,,1 día,Suministro,
CONP/2024/1270,"Suministro de recambios y piezas para vehículos y maquinaria agrícola con 
destino al SERIDA en Villaviciosa y Deva","5.009,40 €",,AUTO RECAMBIOS GIJON SAL,,12 meses,Suministro,
2024 0100003640,"Suministro de dos pinchos para pala de tractor para el Programa de 
Investigación de carne","135,98 €",,AUTO RECAMBIOS GIJON SAL,,1 día,Suministro,
2024 0100003489,Suministro de cadena para el Programa de Investigación de carne,"121,00 €",,AUTO RECAMBIOS GIJON SAL,,1 día,Suministro,
CONP/2024/10234,"Suministro de un autoclave de carga frontal de sobremesa y retirada de dos 
autoclaves para el Centro de Biotecnología Animal del SERIDA","8.929,80 €",,"AUTOCLAVES CENTRO 
ESPECIALIZADO S.L",,1 mes,Suministro,
2024 769,Suministro de catering para la jornada de puertas abiertas del SERIDA (Deva),"534,60 €",,BALBONA PASTELEROS SA,,1 día,Suministro,
CONP/2024/13758,"Servicio de análisis homonales de Calidad seminal por citometría del flujo para el 
programa de Estudio de Calidad Seminal razas domésticas autóctonas","6.054,84 €",,Bianor Biotech S.L.,,7 meses,Servicio,
CONP/2024/11920,"Secado de borras mediante liofilización con cargo al proyecto de investigación 
PID2020 118737RR C21","3.025,00 €",,BIO GES STARTERS S.A,,14 días,Servicio,
CONP/2024/9966,"Prestación de servicios y secuenciación de miRNas bovinos a distintos tiempos 
post.mortem con cargo al proyecto de investigación PID2021 123933OR C31","1.377,20 €",,BIONOVA CIENTIFICA SL,,"2,5 meses",Servicio,
CONP/2024/12698,"Compra de pack agrifood con cargo al PROYECTO DE INVESTIGACIÓN PID2021 
126139OR I00","2.798,73 €",,BIOQUOCHEM S.L.,,7 días,Suministro,
2024 1100000157,"Suminsitro de kit de análisis de ácido acético BA para el Laboratorio de Sidras y 
Derivados","536,45 €",,BIOSYSTEMS BIOTECH SPAIN SL,,1 día,Suministro,
CONP/2024/8531,Compra de equipo de analizador multiparámetro,"16.940,00 €",,BIOSYSTEMS BIOTECH SPAIN SL,,10 días,Suministro,
2024 731,"Suministro de PROTEINASE K (2 x 50mg) para el Programa Estudio Sanitario de 
Fauna Silvestre","290,40 €",,"BIOTOOLS BIOTECHNOLOGICAL Y 
MEDICAL",,1 día,Suministro,
CONP/2024/10985,"Reparación de los brazos de fibra óptica de la sonda de inspección especial para 
matadero del quipo LABSPEC 5000","1.512,50 €",,"BONSAI ADVANCED 
TECHNOLOGIES SL",,30 días,Servicio,
2024 22024,Catering Asamblea General Proyecto Advagromed,"90,00 €",,"CAFE VICENTE PASTELERIA 
HOTEL AVENIDA REAL S.L.",,1 día,Suministro,
2024 240902786,Alimento vacuno octubre Programa de investigación de carne,"498,40 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 240808144,Pienso ovejas y cabras agosto Programa de investigación de carne,"148,50 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 240907625,Cuota mensual ADSG septiembre,"12,76 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 240907623,blockstar vacuno bloques septiembre del Programa de investigación de carne,"498,40 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 240907624,pienso ovjeas y cabras septiembre Programa de investigación de carne,"495,00 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241002918,blockstar vacuno bloques octubre Programa de investigación de carne,"498,40 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241007921,Tacos alimentación vacuno octubre Programa de investigación de carne,"498,40 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241102868,Cuota mensual ADSG noviembre,"12,76 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241107648,Cuota Mensual ADSG octubre,"12,76 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241107649,"material mantenimiento: cinta llana, set deluxe, serrucho scirocco, capazo azul, 
buddy tape sin perforar, juego llaves vaso, ser 45 piezas de destornillador, brida 
nylon, flexómetro compress, flexómetro goma, brida nylon verde, cinta pintor 
tesa, martillo carpintería, eslinga carraca, lanza plástico, brida nylon, negra, 
sierra arco metal, estuche dest c/punteras, masilla poliuretano marrón teja, 
masilla poliuretano gris, silicona translucida, goma elástica, alicate universal, 
plantador, linterna led, guante cubierto nitrilo, manómetro glicelina","399,74 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 X24120052,Servicios veterinarios de cirugía del Programa de investigación de carne,"825,00 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241202911,Productos veterinarios: exabiopen Programa de Investigación de Carne,"16,90 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Suministro,
2024 241207995,cuota mensual ADSG diciembre,"12,76 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,1 día,Servicio,
CONP/2024/12045,"Suministro de pienso para cebo de terneros en la finca La Mata Grado del 
SERIDA con cargo al Proyecto de Investigación TERCRAS","19.899,00 €",,"CAMPOASTUR PRODUCTOS Y 
SERVICIOS S.COOP.ASTUR",,7 semanas,Suministro,
2024 7106,Adquisición de 6 papeleras para instalaciones del SERIDA,"905,73 €",,CANALIZACIONES ESPECIALES Y,,1 día,Suministro,
CONP/2024/13105,"Servicio de implantación de una prueba piloto de ""Agricultura minera"" que 
permita el desarrollo de experimentos de cultivos verticales en galerías mineras 
para el cumplimiento de la actuación 3.1. ""Agricultura de precisión"" del 
Programa AGROALNEXT MRR","24.200,00 €",,"CANTABRICA AGRICULTURA 
URBANA SL",,11 meses,Servicio,
CONP/2024/13517,Suministro de carburante para depósito del SERIDA en Illano,"5.747,50 €",,"CARBUROS GRANDAS DE SALIME 
S.L.",,12 meses,Suministro,
2024 33,Soldar rueda tractor para el Programa de Investigación de Carne,"36,30 €",,CARLOS MORIYON PANDO,,1 día,Servicio,
CONP/2024/11884,"Suministro de material fungible de laboratorio con cargo a MRR red vigilancia 
salud pública vectores","2.592,43 €",,CELTA INGENIEROS S.L,,1 mes,Suministro,
CONP/2024/13271,"Adquisición productos de laboratorio con cargo al Proyecto de Investigación 
PID2021 1291OB I00","2.047,18 €",,CELTA INGENIEROS S.L,,10 días,Suministro,
CONP/2024/8989,"Suministro de equipo de fotodocumentación y cuantificación digital de geles de 
ácidos nucléicos y proteínas para el Centro de Biotecnología Animal del SERIDA","12.759,45 €",,CELTA INGENIEROS SL,,1 mes,Suministro,
2024 VFA24120257,"Agente estabilizador para células, redsafe nucleic acid, high q agarose LE, 
pipette tips rainin, axygen 1,5ml, axygen 0,2ml para Programa de Estudio 
Sanitario de Fauna Silvestre","1.210,00 €",,CELTA INGENIEROS SL,,1 día,Suministro,
CONP/2024/10655,"Ensayo de alimentación de peces de borras de fermentación de Sidras con Cargo 
al Proyecto de Investigación PID2020 118737RR C21","31.810,55 €",,"Centro de Investigación en 
Acuicultura, del ITACyL",,7 meses,Servicio,
2024 4,Servicios veterinarios para el Programa de Investigación de carne,"88,00 €",,"CENTRO VETERINARIO ALTO 
NAVIA S L",,1 día,Servicio,
2024 6,Vacunación enterotoxemia,"1.100,00 €",,"CENTRO VETERINARIO ALTO 
NAVIA S L",,1 día,Servicio,
2024 5,Vacunación y revacunación,"1.100,00 €",,"CENTRO VETERINARIO ALTO 
NAVIA S L",,1 día,Servicio,
2024 7,Servicios veterinarios para el Programa de Investigación de carne,"40,00 €",,"CENTRO VETERINARIO ALTO 
NAVIA S L",,1 día,Servicio,
2024 FRA2400701,"Temperature protection gloves size 7 nitrile,.","82,29 €",,CHEMLABOR SL,,1 día,Suministro,
2024 FRA2400779,Probetas y etanol absoluto para el Programa de Sidras y derivados,"63,02 €",,CHEMLABOR SL,,1 día,Suministro,
2024 FRA2400886,"resma papel filtro 60 gr, washing bottles para el Programa Sidras y Derivados","89,78 €",,CHEMLABOR SL,,1 día,Suministro,
2024 FRA2400622,[G7513 20ML] L GLUTAMINE,"16,09 €",,CHEMLABOR SL,,1 día,Suministro,
CONP/2024/8378,"Reactivos de laboratorio con cargo al Proyecto de Investigación PID2020 
118737RR C21","1.212,40 €",,CHEMLABOR SL,,1 mes,Suministro,
2024 FRA2400872,"tabletas de cloro para sanitización, metanol lichrosolv para el Programa de 
Investigación Forestal","579,83 €",,CHEMLABOR SL,,1 día,Suministro,
CONP/2024/10174,Suministro de dos armarios de seguridad para reactivos inflamables,"5.488,11 €",,CHEMLABOR SL,,1 mes,Suministro,
CONP/2024/9902,"Suministro de productos de cultivo celular 3D con cargo al Proyecto de 
Investigación PID2021 122197OR C22","1.988,51 €",,CLINISCIENCE LAB SOLUTION,,15 días,Suministro,
2024 FV2405106,Traslado de residuos al punto limpio,"3,43 €",,COGERSA SAU,,1 día,Servicio,
2024 FV2405070,Traslado de muebles al punto limpio,"4,03 €",,COGERSA SAU,,1 día,Servicio,
2024 FV2405107,Traslado de restos de mobiliario al punto limpio,"10,75 €",,COGERSA SAU,,1 día,Servicio,
2024 FV2405033,Traslado de restos de mobiliario al punto limpio,"6,43 €",,COGERSA SAU,,1 día,Servicio,
2024 FP2400573,Traslado de restos de hospitalarios,"44,80 €",,COGERSA SAU,,1 día,Servicio,
2024 FP2400769,Traslado de restos de hospitalarios al punto limpio,"115,11 €",,COGERSA SAU,,1 día,Servicio,
CONP/2024/9485,"Suministro de pienso para ovino en la finca la Mata Grado del SERIDA con cargo 
al Programa de Investigación de Carne","1.953,60 €",,COMERCIAL AGRUPALSA SL,,15 días,Suministro,
CONP/2024/9685,"Suministro de pienso para preparto de cabras y ovejas con cargo al Proyecto de 
Investigación PID2020 120601RR I00","6.314,00 €",,COMERCIAL AGRUPALSA SL,,15 días,Suministro,
CONP/2024/9719,"Suministro de pienso caprino con cargo al Proyecto de Investigación LIFE 
SILFORE (NO. 101074445 LIFE21 CCA ES LIFE SILFORE)""","1.894,20 €",,COMERCIAL AGRUPALSA SL,,10 días,Suministro,
CONP/2024/10748,"Suministro de pienso para alimentación de novillas en el SERIDA de DEVA con 
cargo al Proyecto de investigación de Leche","3.740,00 €",,COMERCIAL AGRUPALSA SL,,10 días,Suministro,
CONP/2024/11527,"Suministro de pienso para vacas nodrizas en el Centro de Biotecnología Animal 
del SERIDA con cargo al Programa de investigación de Carne","973,50 €",,COMERCIAL AGRUPALSA SL,,10 días,Suministro,
CONP/2024/11606,"Suministro de pienso para alimentación de terneras en el SERIDA de DEVA con 
cargo al Programa de investigación de Leche","3.520,00 €",,COMERCIAL AGRUPALSA SL,,10 días,Suministro,
CONP/2024/11504,"Suministro de pienso en tacos para la alimentación de ganado vacuno en la 
estación experimental de La Mata Grado del SERIDA con cargo al Programa de 
Investigación de Carne","1.573,00 €",,COMERCIAL AGRUPALSA SL,,15 días,Suministro,
2024 241812,Suminisro gasóleo C 748 litros,"776,05 €",,"COMPAÑIA LACIANIEGA DE 
GASOLEOS SL",,1 día,Suministro,
2024 GESLIB3263,"Pago registro auxiliar de ESPH3305615677, ESPH3305615678, ESPH3305717090, 
ESPH3305717997 Y ESPH3305717997, para el Programa Investigación de Leche","36,30 €",,"CONFEDERACION DE 
ASOCIACIONES FRISONA 
ESPAÑOLA",,1 día,Servicio,
2024 VV20240537,Cuota anual vacuno mayor para el Área de Producción Animal,"36,00 €",,"CONSEJO REGULADOR IGP 
TERNERA ASTUR",,1 día,Servicio,
2024 VV20240493,Cuota anual vacuno mayor para el Área de Producción Animal,"4,20 €",,"CONSEJO REGULADOR IGP 
TERNERA ASTUR",,1 día,Servicio,
2024 50124110054,Muestras colección Pisum sativum para el Proyecto INCREASE,"153,66 €",,"CONSEJO SUPERIOR DE 
INVESTIGACIONES CIENTÍFICAS 
(CSIC)",,1 día,Suministro,
2024 6719,"Suministro de material de laboratorio para el Programa Estudio de Calidad 
Seminal de Razas Domésticas Autóctonas","43,50 €",,"CONSORCIO MERCANTIL DE 
HUESCA SL",,1 día,Suministro,
CONP/2024/12673,"Suministro de un incubador CO2 para el centro de Biotecnología Animal del 
SERIDA","7.865,00 €",,CONTROLTECNICA BIO SL,,15 días,Suministro,
CONP/2024/9803,"Suministro de un bioanalizador de fragmebtos con tecnología de electroforesis 
capilar con cargo al Proyecto de Investigación PID2021 123919OB I00","21.997,80 €",,CONTROLTECNICA BIO SL,,3 meses,Servicio,
2024 14175F,"Sumiistro de magos, pala, manguera","113,55 €",,"Coop Comarcal Agropecuaria 
Cunalpinar",,1 día,Suministro,
2024 4100,Suministro insecticida IBYS avispas,"45,79 €",,"COOPERATIVA DE 
AGRICULTORES, 
CONSUMIDORES Y USUARIOS 
DEL CONCEJO DE GIJÓN",,1 día,Suministro,
2024 5017,"Suministro de lata 10 discos kwb, base múltiple inter, 3 tomas, tijera recta jardin 
y funda roja","30,06 €",,"COOPERATIVA DE 
AGRICULTORES, 
CONSUMIDORES Y USUARIOS 
DEL CONCEJO DE GIJÓN",,1 día,Suministro,
2024 FV24004825,Desparasitador ovejas para el SERIDA Deva,"60,91 €",,"COOPERATIVA DE 
AGRICULTORES, 
CONSUMIDORES Y USUARIOS 
DEL CONCEJO DE GIJÓN",,1 día,Suministro,
2024 FV24004101,"Suministro de bobina cuerda sisal 200gr y agua fuensanta botella 1.5L para el 
Programa de Transferencia","20,84 €",,"COOPERATIVA DE 
AGRICULTORES, 
CONSUMIDORES Y USUARIOS 
DEL CONCEJO DE GIJÓN",,1 día,Suministro,
2024 2024073,Servicio análisis sensorial para el Programa Sidras y Derivados,"121,00 €",,CRISTINA CASTAÑO MONLLOR,,1 día,Servicio,
CONP/2024/9429,"Prestación del servicio de gabinete de prensa y comunicación como apoyo al 
área de transferencia del SERIDA","17.666,00 €",,CRONISTAR SL,,3 meses,Servicio,
2024 10,Revisión artículo para el Proyecto PID2020 118737RR C21,"152,46 €",,DAVID NICHOLAS AIREY,,1 día,Servicio,
2024 14,revisión artículo para el Proyecto PID2020 120239RR I00,"135,52 €",,DAVID NICHOLAS AIREY,,1 día,Servicio,
2024 20240284,Reparación bomba HPLC para el Programa de Sidras y Derivados,"219,01 €",,"DESARROLLO Y 
MANTENIMIENTO DE 
ELECTRÓNICA S.L.",,1 día,Servicio,
CONP/2024/5372,Suministro de descalcificador de agua de red,"1.667,68 €",,"DESARROLLO Y 
MANTENIMIENTO DE 
ELECTRÓNICA S.L.",,15 días,Suministro,
CONP/2024/5594,"Suministro de equipos de protección individual (EPIS) para la prevención de 
riesgos laborales en tareas de aplicación de productos fitosanitarios y trabajos 
de desbrozado por el personal del SERIDA","3.111,19 €",,DEXIBERICA,,30 días,Suministro,
2024 02561,"Reparación completa de de tres dispositivos GPS geolocalización para vacas y 
cabras para el Proyecto PID2020 120601RR I00","326,42 €",,DIGITANIMAL SL,,1 día,Servicio,
CONP/2024/9702,"Suministro de equipo portátil ""Porómetro y Fluorímetro"" (Li 600 
porometer/fluometer)","21.356,50 €",,"DILUS INSTRUMENTACION Y 
SISTEMAS SA",,6 meses,Suministro,
CONP/2024/11593,"Suministro de medidor láser portátil de metano con cargo al Programa de 
Investigación de Leche Proyecto LABACA","11.355,85 €",,DISMED S.A.,,1 mes,Suministro,
CONP/2024/11978,"Suministro de reactivos con cargo al Proyecto de Investigación PID2021 
126010OR I00","15.172,37 €",,DISMED S.A.,,1 mes,Suministro,
CONP/2024/12745,"Adquisición material de laboratorio con cargo al Proyecto de Investigación al 
PROYECTO DE INVESTIGACIÓN PID2021 123919OB I00","1.663,23 €",,DISMED S.A.,,10 días,Suministro,
2024 4497,micro pipeta multicanal 8 canales,"497,79 €",,DISMED SA,,1 día,Suministro,
2024 4549,"base, tapón para filtración a vacio y matraz esférico","523,42 €",,DISMED SA,,1 día,Suministro,
2024 4550,electrodo de PH para muestras Laboratorio de Sidras y Derivados,"411,40 €",,DISMED SA,,1 día,Suministro,
2024 5229,servicio envío de muestras frío Laboratorio de Sidras y Derivados,"87,50 €",,DISMED SA,,1 día,Suministro,
2024 5356,servicio envío de muestras frío Laboratorio de Sidras y Derivados,"40,96 €",,DISMED SA,,1 día,Suministro,
2024 5014,resina de un solo uso 20 litros Proyecto Genética y reproducción animal,"534,82 €",,DISMED SA,,1 día,Suministro,
2024 5708,"servicio envío en frío de muestras a Alicante Programa de Investigación de 
Leche","68,87 €",,DISMED SA,,1 día,Suministro,
2024 5941,24 botellas de 1 litro NaoH,"539,35 €",,DISMED SA,,1 día,Suministro,
2024 6443,"equipo de medida de humedad y temperatura en sustratos para el Programa de 
Investigación Forestal","1.203,95 €",,DISMED SA,,1 día,Suministro,
CONP/2024/5395,Suministro equipo PEBBLE R QCLAMP,"1.641,06 €",,DISMED SA,,2 meses,Suministro,
CONP/2024/11740,"Suministro de un procesador de tejidos con vacío y sistema de extracción y 
filtrado de vapores y con pantallas de contención de vapores de metacrilato 
para el Centro de Biotecnología Animal del SERIDA","33.515,45 €",,DISMED SA,,1 mes,Suministro,
CONP/2024/11837,"Suministro de un equipo lector multimodal de microplacas para lectura 
absorbancia, turbidimetría, intensidad de fliorescencia y luminiscencia con cargo 
al Proyecto de Investigación de Carne","33.291,99 €",,DISMED SA,,1 mes,Suministro,
CONP/2024/11101,"Suministro de una bureta digital con cargo al proyecto de demostración 
agroforestal del SERIDA","948,10 €",,DISMED SA,,1 mes,Suministro,
2024 6443,"equipo de medida de humedad y temperatura en sustratos Programa 
Investigación Forestal","1.203,95 €",,DISMED SA,,1 día,Suministro,
CONP/2024/12742,"Centrífuga refrigerada para el Área de cultivos hortofrutícolas y forestales con 
cargo al Programa de Investigación Forestal","9.814,31 €",,DISMED SA,,3 semanas,Suministro,
CONP/2024/12754,"Suministro de soporte específico para seminogramas (Cámara Makler) con cargo 
al Proyecto de Investigación Banco de Recursos Zoogenéticos","1.334,87 €",,DISMED SA,,10 días,Suministro,
CONP/2024/13359,"Suministro de material de laboratorio con cargo al Proyecto de Investigación 
PCI2022 132944 (ADVAGROMED)","8.338,24 €",,DISMED SA,,10 días,Suministro,
2024 24160,"peptona bacterologica, di potasio hidrogenofosfato para análisis, magnesio 
sulfato para análisis Programa de Patología Vegetal","604,01 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24159,adquisición de material de laboratorio Programa de Patología Vegetal,"445,56 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24158,"adquisición de dosificador de 6 30ml autoclavable Programa de Patología 
Vegetal","745,36 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24179,"Cinta americana, grapas, grapadora, 2 oligos síntesis, servicio transporte 
nacional, jeringa 2 piezas 20 ml Programa de Patología Vegetal","164,58 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24178,3 kits “Terra Direct Polymerase Mix Clontech Programa de Patología Vegetal,"947,43 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24209,"micro pipeta Gilson, resma de papel y dos fluorescentes para cabina ESCO 
Programa de Patología Vegetal","508,20 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24214,adquisición de agentes antimicrobianos Programa de Patología Vegetal,"252,89 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24219,"cinco asa de platino,tres mangos de Kolle metálicos y ciprofloxacino Programa 
de Patología Vegetal","319,44 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
2024 24228,Kit extracción ADN muestras manzano,"516,67 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,1 día,Suministro,
CONP/2024/12758,"Suministro de material de laboratorio con cargo al Proyecto de Investigación 
862862 INCREASE","2.017,83 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,10 días,Suministro,
CONP/2024/12382,"Suministro de fungibles y reactivos con cargo al Proyecto de Investigación 
Patología Vegetal","2.273,40 €",,"DISTRIBUIDORA 
BIOTECNOLÓGICA ASTUR 
LEONESA SLL",,10 días,Suministro,
2024 0095711219,"Suministro de tablet (A9+ 11.0""/8/128/negro) y cargador 25W sin cable negro 
para el Programa Investigación Forestal","243,90 €",,EL CORTE INGLES SA,,1 día,Suministro,
