NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
2024 15,Suministro de castañas para exposición AGROPEC,"17,04 €",,"MARIA GISLENA GRANDA 
ZAPICO",,1 día,Suministro,
2024 1824,"Suministro de Harina, sal, agua, aceite Programa de Transferencia y 
Publicaciones","58,34 €",,"MARIA GISLENA GRANDA 
ZAPICO",,1 día,Suministro,
2024 3215846,publicación artículo Proyecto PID2020 118737RR C21,"2.916,67 €",,MDPI AG,,1 día,Servicio,
CONP/2024/1042,"Servicio de reparaciones generales , incluidas ruedas y reparaciones eléctricas 
de los vehículos de la flota del SERIDA en Illano","2.400,00 €",,MECA TALLER DIAZ SL,,12 meses,Servicio,
2024 8250907544,"ORLISTAT, 98% Proyecto PID2020 118737RR C21","527,56 €",,MERCK LIFE SCIENCE SLU,,1 día,Suministro,
CONP/2024/9536,"Servicio de análisis y estudio histológico de muestras de intestino bovino de 
vacas sanas y paratuberculosas con cargo al Proyecto de Investigación PID2021 
122197OR C22 (3 MESES)","3.182,30 €",,MICROS VETERINARIA SL,,3 meses,Servicio,
2024 1424,Plantas Castanea Sativa Programa Investigación Forestal,"579,04 €",,"MIGUEL ANGEL VAZQUEZ DE LA 
MATA",,1 día,Suministro,
2024 37,transporte ovejas Programa de Investigación de Carne,"278,30 €",,MIGUEL BLANCO GARCIA,,1 día,Servicio,
2024 44,Transporte ganado Programa de Investigación de Carne,"121,00 €",,MIGUEL BLANCO GARCIA,,1 día,Servicio,
2024 62,Hakaphos Calcidic Plus 25 Proyecto Demostración Agroforestal,"160,88 €",,"MUÑOZ DE DIEGO DIVISION 
AGRO SL",,1 día,Suministro,
CONP/2024/4587,Servicio de limpieza de vehículos flota del SERIDA de Villaviciosa y Deva,"4.320,00 €",,NATALIO LINDE SOL,,12 meses,Servicio,
CONP/2024/8182,"Instalación de equipos de climatización para el Área de Sanidad Animal 
(Laboratorio Anatomía Patológica) y el local servidor red IRIS del Serida","5.929,00 €",,NEVARES SA DE INSTALACIONES,,1 mes,Suministro,
CONP/2024/8507,Obra para el Suministro e instalación de caldera gas,"7.247,90 €",,NEVARES SA DE INSTALACIONES,,1 mes,Obra,
CONP/2024/13916,"Servicio de dirección de la obra de instalación eléctrica de los invernaderos de 
la Granja Demo ""LES BARAGAÑES"" y coordinación de seguridad y salud y en su 
ejecución","1.452,00 €",,NICASIO ASPE LLAVONA,,2 meses,Servicio,
2024 1638,Revisión vehículo 2371MLB,"74,00 €",,NORTE MOTOR SL,,1 día,Servicio,
CONP/2024/11624,Suministro de un vehículo para desplazamiento del personal del SERIDA,"17.212,25 €",,NORTE MOTOR SL,,"1,5 meses",Suministro,
2024 T2024A12128,Supreme NZYProof 2× Green Proyecto Rata topera,"455,10 €",,NZYTECH LDA,,1 día,Suministro,
2024 62,Mini sierra de podar Proyecto ÁREA FORESTAL,"734,85 €",,OVALLE BOSQUE Y JARDIN SL,,1 día,Suministro,
