NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Ejecucion Subsidiaria Resolucion de 4 de julio de 2019,"6.534,00 €","5.400,00 €",Transportes y maquinaria Gonzalo SL,,6 meses,Obra,
,Adquisicion de 20 botas de montaña,"3.339,12 €","2.759,60 €","Union Ferretera Astur, SL",,2 meses,Suministro,
,Adquisicion de 20 prendas de abrigo y de lluvia,"3.264,10 €","2.697,60 €","Union Ferretera Astur, SL",,2 meses,Suministro,
,Estudios histológicos biopsias y necropsias fauna silvestre,"9.922,00 €","8.200,00 €",Universidad de León,,hasta el 15 de diciembre de 2024,,
,Suministro de material diverso,"363,00 €","300,00 €",Valdavida Roberto SL,,Un (1) mes,Suministros,
,Material de ferretería para embarcaciones,"363,00 €","300,00 €",Valdavida Roberto SL,,Una (1) semanaSuministros,,
,Limpieza de dos vehículos marca Fiat punto matriculas 6663CHP y 7681BXB de la oca Vegadeo,"108,90 €","90,00 €",Vanesa Gonzalez García,,15 días,Servicios,
,Servicio de apoyo para la realización de salidas al mar,"13.310,00 €","11.000,00 €",Vega García Braña,,Tres (3) mesesServicios,,
,Redacción del proyecto de renovación de la cubierta en el edificio de la rula de Luarca,"9.196,00 €","7.600,00 €",Vicente López Llames,,Dos (2) mesesServicios,,
,Suministro de reactivos para realizar la amplificación (PCR) de tuberculosis,"1.718,20 €","1.420,00 €","Vidra Foc, S.A.",,1 mes,Suministros,
,Reparacion vehiculo oficial matricula 9333BFP,"255,01 €","210,75 €","Villarmotor
(Yonatan Fernandez Junquera)",,1 Mes,Servicios,
,Reparacion vehiculo oficial matricula 6669CHP,"446,16 €","368,73 €","Villarmotor
(Yonatan Fernandez Junquera)",,1 Mes,Servicios,
,Reparacion vehiculo oficial matricula 5227KSM,"144,11 €","119,10 €","Villarmotor
(Yonatan Fernandez Junquera)",,1 Mes,Servicios,
,Suministro de accesorio para Vac Elut 20 manifold,"263,78 €","218,00 €",VWR International Eurolab S.L.U,,1 mes,Suministros,
,Mantenimiento del equipo de cromatografia UPLC,"11.098,86 €","9.172,61 €","Waters cromatografia, S.A.",,8 meses,Servicios,
,Actuaciones prevención uso ilegal venenos en el medio natural,"18.137,90 €","14.990,00 €",Wenceslao Fernández Iglesias,,hasta el 15 de diciembre de 2024,,
,Analítica tipo screening sobre muestra tóxica,"104,67 €","86,50 €",Xenotechs Laboratorios S.L.U,,hasta el 30 de septiembre de 2024,,
,Reparación coche matrícula 9339BFP,"367,74 €","303,92 €",Yonatán Fernández Junquera,,7 días,Servicios,
,Reparación de vehíciulo Fiat punto matricula 5330CHM,"65,11 €","53,81 €",Yónatan Fernández Junquera,,7 días,Servicios,
